formula_actual,perovskite_type,predicted_bg,predicted_bg_corrected,energy_above_hull_eV,pd_score,application,lead_free
Rb4InSbCl12,double,1.8833025633790017,1.2650925562978683,0.0,1.0,NIR PD,True
Rb3Sb2I9,Sb_Bi_ternary,2.341864306038294,1.7236542989571606,0.0,1.0,Visible PD,True
RbCuCl3,single,1.1647992498595443,0.5465892427784108,0.0,1.0,NIR PD,True
Rb2TlSbCl6,double,2.406866627574557,1.7886566204934238,0.0,1.0,Visible PD,True
Rb2AgAu3I8,double,1.3588514452188116,0.7406414381376781,0.0,1.0,NIR PD,True
Rb2AgSbCl6,double,2.2270712731404165,1.6088612660592831,0.0,1.0,Visible PD,True
Rb2CuSbCl6,double,1.6345478052413125,1.0163377981601789,0.0,1.0,NIR PD,True
Rb2InBiCl6,double,2.201384419258092,1.5831744121769584,0.0,1.0,Visible PD,True
Rb2InAgCl6,double,1.761882802690376,1.1436727956092425,0.0,1.0,NIR PD,True
Rb2InAgF6,double,2.3176511811782743,1.699441174097141,0.0,1.0,Visible PD,True
Rb2CuBiCl6,double,1.7097783904346244,1.0915683833534908,0.0,1.0,NIR PD,True
KCuCl3,single,1.4763508311496945,0.858140824068561,0.0,1.0,NIR PD,True
K2TeI6,vacancy_ordered,2.18021224800973,1.5620022409285967,0.0,1.0,Visible PD,True
K2TiCl6,vacancy_ordered,2.4931575360045377,1.8749475289234043,0.0,1.0,Visible PD,True
KCuSb3F18,double,1.3108017553476097,0.6925917482664762,0.0,1.0,NIR PD,True
K2PtI6,vacancy_ordered,1.7548837927925551,1.1366737857114215,0.0,1.0,NIR PD,True
K2PtBr6,vacancy_ordered,1.5911578125567007,0.9729478054755673,0.0,1.0,NIR PD,True
K2PtCl6,vacancy_ordered,1.7431782238624374,1.124968216781304,0.0,1.0,NIR PD,True
K2SnBr6,vacancy_ordered,2.054461449320881,1.4362514422397474,0.0,1.0,NIR PD,True
K2PdCl6,vacancy_ordered,1.6379144024637549,1.0197043953826213,0.0,1.0,NIR PD,True
Rb2PdCl6,vacancy_ordered,2.0400782467338514,1.421868239652718,0.0,1.0,NIR PD,True
Rb2PdBr6,vacancy_ordered,1.2393190259372122,0.6211090188560787,0.0,1.0,NIR PD,True
